Source,RA_ICRS,DE_ICRS,BPmag,RPmag,Gmag,GMAG,Teff,Rad,Lum-Flame,Plx,Dist,bp_rp,spectral_class,cluster_silhouette,cluster_k7
5853431814761644544,217.24314830002,-63.15168779779,17.468979,16.042065,16.8517,1.162,15027.741000000002,1.3623,86.51045,0.3341,3320.8320000000003,1.426914,O,1,6
182712311117630336,80.86398243109001,34.18968897719,15.433661,14.518139,15.070332999999998,-0.696,9653.795,4.7498,34.92448,0.3219,6323.183000000001,0.9155220000000012,B,0,1
2812255838512587520,348.48208079511,13.13544802442,16.040789,13.938374,14.969102,8.4219,3807.9802,0.5329,0.05209299,6.0365,166.9574,2.1024150000000006,M,3,3
123251306400321920,46.41340986838,30.759763561229995,14.872436,13.865175,14.455859,3.2631,5998.311,1.7923,5.494617,0.5736,1331.7261,1.0072609999999995,F,2,0
15073484078709248,46.42535897184,9.888341531960002,14.432617,13.244229999999998,13.91974,4.5617,5724.4414,1.0637,1.028418,1.8419,535.4721,1.1883870000000023,G,2,0
174026783434232576,71.2686131636,34.74334233435,15.866946,14.124851,15.033563,2.5419,7282.0264,1.6964,7.992795,0.9315,999.6323,1.7420950000000008,F,1,6
645870520478565632,143.92555249364,25.735885023910004,16.30114,14.396760999999998,15.39187,6.372000000000001,4106.8306,1.1264,0.10421069,3.3901,506.7235,1.9043790000000025,M,3,3
236706028624165120,54.09493817846,40.637027830540006,13.688817000000002,12.621659,13.237105,3.1186,5176.5283,2.6029,3.378879,1.1266,976.3632,1.0671580000000027,G,2,0
2930407468261057280,111.78295530838,-19.29728713877,12.156751,11.660404,11.975069,2.9864,7201.4937,1.4008,6.0487027,1.5369,572.5538,0.4963470000000001,A,2,5
90982770427931136,29.069535522479995,17.09231840399,12.735551,12.031814,12.462621,3.7688,6192.606,1.3090000000000002,2.3472502,1.8463,526.1276,0.7037369999999985,F,2,0
5350652119735132160,158.64177301243,-58.88801580847,13.013908,11.713125,12.46074,-2.9361,15159.589,8.532,,0.2073,3189.315,1.300783000000001,O,1,1
122489035604496128,49.11529435628,29.98881682448,15.336978,14.154143,14.829935999999998,2.2273,6733.515,2.2565,15.82759,0.365,1864.6752,1.1828350000000007,F,2,6
123004431679823616,47.10774308329,30.66288136023,13.580376,12.58176,13.169323,4.0305,5696.1743,1.3993,1.8876661,1.7352,559.4214,0.9986160000000002,F,2,0
239652887284825600,48.769731496400006,42.18967444383,14.942464,14.040912,14.57894,2.8787,5907.387,2.1667,4.1844044,0.5462,1886.132,0.9015519999999988,G,2,0
439804822911789952,47.59456672229,50.5321998413,12.172257,11.352091,11.850074,0.3385,10646.244,2.6464,77.882675,1.0932,922.4502,0.8201660000000004,B,0,5
4324449566432500608,248.9005235285,-16.65397890333,16.169882,14.126154,15.166595,-1.087,15033.501,3.6923,645.0686,0.3328,2583.0156,2.043728000000001,O,1,4
4655238571672123904,76.28644750353001,-69.23492643818001,17.36724,17.207973000000003,17.59453,1.1413,15317.563999999998,1.3552,89.80346999999999,0.0865,15913.511,0.1592669999999962,O,0,5
2199022263430848512,329.21924747915,57.29034331232,15.631088,13.812027,14.781493,-3.1535,7806.4087,20.2227,130.4295,0.3573,9844.369,1.819061,A,1,4
166254404456983936,65.74070431293,31.311846009459995,13.731169,12.341185,13.107879,4.4338,5855.7036,1.0809,1.2520351,3.0647,317.7292,1.389984,G,2,0
119265404950720000,50.73461905262,29.3833346271,13.651229,12.317431,13.059032,4.4734,5651.0522,1.1351,1.2467902,2.8733,334.2471,1.3337980000000016,K,2,0
131579282346397312,37.16172162553,30.427040182679995,14.829825,13.723368,14.355601,5.6358,5150.6562,0.826,0.43437302,1.9508,503.4541,1.106456999999999,K,2,0
288080434550440320,86.55290373681,65.45320461636,13.975714000000002,13.274120000000002,13.70328,1.8157,7202.0273,2.3839,17.87981,0.4409,1789.471,0.701594,A,0,5
86631934197368064,37.56069614028,20.01897506954,14.46345,13.52616,14.081206,3.4758,5701.9155,1.7862,3.0832598,0.8138,1153.5408,0.9372899999999992,G,2,0
48022892626979968,66.74699166920999,19.29835253506,13.120659,11.745576,12.49835,6.5717,4652.478,0.6992,0.21365687,7.246,135.5241,1.375083,K,3,3
225061199753028992,56.16283783407,40.70233805754,14.207817000000002,13.046367,13.71824,4.4206,5822.4844,1.0988,1.2786282,1.8427,519.3251,1.161450000000002,G,2,0
192541391017410176,85.99816397962,40.62471370535,14.940617,14.32216,14.711119,0.5075,9680.176,2.7597,49.271717,0.2414,3997.417,0.6184569999999994,B,0,5
162465560406263680,61.3349388971,25.88325343188,14.663015,13.342361,14.067455,-0.6698,4665.932,19.4406,67.89442,0.1402,8120.7466,1.320653999999999,K,1,6
3045756958247989632,106.40506313049,-11.97985497433,10.537794,10.253437,10.438321,0.8457,8232.037,2.9004,31.20625,1.4019,742.47,0.2843569999999999,A,0,5
1789672847444889088,317.98907932036,20.09408693986,16.937538,16.6099,16.830017,0.2352,16215.307,1.9287,251.90327,0.3092,12928.594,0.3276380000000003,B,0,5
214598075305467008,87.75870027245001,50.81028747041,15.244658,14.16641,14.78793,4.2667,5424.983,1.3501,1.817844,0.7828,1087.5398,1.0782479999999983,G,2,0
5955935916552287232,265.18549994311,-42.46889187397,16.638254,14.933671,15.849772,0.2567,15052.098999999998,2.0562,216.41489,0.0594,2569.1548,1.7045829999999995,O,1,6
151912306064878336,69.11572070726,27.97869149427,14.51011,13.265532,14.006853,4.0373,5815.303000000001,1.3107,6.0433536,0.7758,643.7765,1.2445779999999989,F,2,0
7553889696640640,46.59789225808,7.227073653630001,15.101194,13.923053,14.596374,4.2007,5826.715,1.2112,1.6089691000000002,1.1188,835.9011,1.178141,F,2,0
2617550711692961920,329.9893631712,-9.39723731937,16.475441,14.026984,15.200463,9.0997,3568.2805,0.4837,0.052661292,5.9559,131.2908,2.4484569999999994,M,3,3
40474985821054336,58.96539207734,16.369402212220002,14.880610999999998,13.519737,14.270756,0.728,5808.0674,6.0674,41.001118,0.2148,3091.3018,1.360873999999999,K,1,6
